element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,6.8955904647131945,79.4509201980011,-0.22606118734448305,-29870.043349181742,-30446.156825453636,-120403.13772696866,-206.51889838437546,-45554.916052824,26118.51478143506,-1311.8611958332053,8604.211397346864,41733.01080315806,-1311.8611958332053,8604.211397346864,41733.01080315806
2,6.851577049310437,78.95286179444619,-0.22606119024106464,-45730.191123210294,-46084.24120860618,-184230.22484596635,-118.39604543000213,-17826.338497804914,28220.038988821078,-41695.864825323326,-9162.937681815434,-4541.759279847956,-41695.864825323326,-9162.937681815434,-4541.759279847956
3,6.80756363412613,78.45480338792072,-0.2260611891716286,-40356.55014974923,-40640.026182809685,-162801.22852892033,-57.06803862801011,-7239.491393389769,28798.032905898217,-21445.070538942695,-4991.068105225783,-3774.641533759635,-21445.070538942695,-4991.068105225783,-3774.641533759635
4,6.763550218704407,77.95674498067879,-0.22606118937255787,-41213.035161725245,-41517.18652763251,-166364.2962118741,-40.07833604099875,-4851.5864456460195,31498.06879174057,-23606.399410666858,-5452.898605797251,-3639.839073256899,-23606.399410666858,-5452.898605797251,-3639.839073256899
5,6.719536803162645,77.45868657331744,-0.22606118935405692,-41289.09636766474,-41597.74244735562,-166727.21605772674,-38.32323505446785,-4339.871527707309,32633.49651910625,-22236.0793934494,-5112.425934083697,-3326.028637028507,-22236.0793934494,-5112.425934083697,-3326.028637028507
6,6.675523387557731,76.96062816590494,-0.22606118923928903,-41259.99615368504,-41575.41640531796,-166642.47544885025,-35.309898649392146,-4605.520430633904,33329.12551102927,-24941.027835402005,-5697.80701642105,-3551.0794434157538,-24941.027835402005,-5697.80701642105,-3551.0794434157538
7,6.631509972189687,76.46256975826145,-0.22606118969469208,-41994.544141922306,-42293.66212264008,-169678.02154975137,-66.8229954480357,-7018.287706498414,34796.1262090058,-16754.77772744782,-3608.2581188872173,-2273.5729073165603,-16754.77772744782,-3608.2581188872173,-2273.5729073165603
8,6.587496555567376,75.96451134976088,-0.22606118756750287,-37778.71865148899,-37926.39869840805,-152524.97939723195,-2.25496970145479,-14964.152870183088,27251.360959457663,-52202.169883704555,-10991.201886259316,-3378.715424741835,-52202.169883704555,-10991.201886259316,-3378.715424741835
9,6.895590464889711,79.45092019738367,-0.2248898865996672,-18716.67253248837,-19382.76440442012,-75839.29059602521,-226.20732786942997,-28570.159954947136,15102.489658957897,-15888.919914617358,-1384.3469693364048,7755.91429036852,-15888.919914617358,-1384.3469693364048,7755.91429036852
10,6.85157704945308,78.95286179439606,-0.22488988958384495,-27208.346719812518,-27575.509860045786,-110238.93375822506,-126.02228887603465,-9634.075492415926,15630.792745383516,-30684.976203995844,-7164.77640099038,-4796.766905213672,-30684.976203995844,-7164.77640099038,-4796.766905213672
11,6.807563634318384,78.45480338786496,-0.22488988847133076,-24235.26924504323,-24542.064330171645,-98413.78601375963,-61.314897847670395,-4204.420185016931,16342.352481505595,-24027.43133154424,-5578.35021141809,-3765.2039705565585,-24027.43133154424,-5578.35021141809,-3765.2039705565585
12,6.763550218910175,77.95674498065108,-0.2248898886789164,-24681.122423628167,-25006.1504963823,-100344.92651089543,-42.93218148231502,-2726.6427217969426,17831.43127946432,-24758.262223100333,-5684.501583298477,-3629.317687229113,-24758.262223100333,-5684.501583298477,-3629.317687229113
13,6.719536803378035,77.4586865732901,-0.22488988865821885,-24706.29395332473,-25037.467530903272,-100507.65311606205,-40.99063817230599,-2456.5973571707686,18495.547306143282,-24331.48082334599,-5554.381269097577,-3437.602033035688,-24331.48082334599,-5554.381269097577,-3437.602033035688
14,6.675523387779319,76.960628165871,-0.22488988854734107,-24714.75974935712,-25051.726172668597,-100578.172069653,-38.1324002663775,-2654.281596806732,18912.548627496097,-25113.09113745466,-5710.466308397402,-3449.8357826824795,-25113.09113745466,-5710.466308397402,-3449.8357826824795
15,6.631509972424862,76.4625697582332,-0.22488988898832069,-24981.14386615368,-25304.840511292507,-101738.27191971931,-70.52496306254821,-3836.4755397584395,19725.075591665027,-22549.203433702092,-5065.7615601850175,-2966.8475531096387,-22549.203433702092,-5065.7615601850175,-2966.8475531096387
16,6.587496555763874,75.96451134957323,-0.2248898868873203,-23089.160177551083,-23236.640956576408,-93895.32597839422,-6.468593585918404,-9269.608527863775,15669.012491429592,-32407.40886560478,-7022.574167684432,-3603.1395867591277,-32407.40886560478,-7022.574167684432,-3603.1395867591277
17,6.895590465243073,79.45092019616044,-0.2225472851071582,-13097.111526780467,-13940.380021450044,-53461.00181044272,-265.26368344457114,-19943.97839263892,9545.84439248544,-23118.060575420233,-4384.445914842723,1523.8311312028804,-23118.060575420233,-4384.445914842723,1523.8311312028804
18,6.851577049739822,78.95286179429311,-0.2225472882649168,-17865.136694133336,-18259.049531655055,-73056.03901276262,-141.3363597981326,-5553.332784538602,9291.929915009117,-27730.798981092266,-6564.769041127531,-4573.920974539769,-27730.798981092266,-6564.769041127531,-4573.920974539769
19,6.807563634703525,78.45480338775508,-0.22254728706857194,-16106.136155514721,-16458.975637606323,-66091.46844265096,-69.69342645409681,-2665.080647398862,10066.605635079959,-24727.396519809598,-5718.031782652434,-3695.313500549999,-24727.396519809598,-5718.031782652434,-3695.313500549999
20,6.763550219322232,77.95674498059539,-0.22254728728885903,-16338.762584547945,-16705.339527780096,-67190.44252115146,-48.61590676636359,-1660.4557285874212,10947.94208849685,-25015.04784221571,-5725.676175911265,-3579.929023060459,-25015.04784221571,-5725.676175911265,-3579.929023060459
21,6.719536803809142,77.45868657323551,-0.22254728726414752,-16339.023391040031,-16714.87675761541,-67260.32745581903,-46.286395337396414,-1508.806371002817,11374.154249769428,-24846.245176704077,-5656.281898025645,-3427.0877419227922,-24846.245176704077,-5656.281898025645,-3427.0877419227922
22,6.675523388222853,76.96062816580367,-0.2225472871607585,-16362.5092453244,-16742.366258508457,-67400.7295152883,-43.73485309628958,-1668.5564231111528,11651.16891091499,-25114.275853201496,-5694.333473046608,-3381.2517843646583,-25114.275853201496,-5694.333473046608,-3381.2517843646583
