element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,6.892166296957251,81.45855378557997,-0.22606118734466402,-29953.823609000385,-30532.01531363564,-120743.07818707403,-205.3264539716233,-45438.16257809777,26248.430192889067,-1615.8654272983274,8309.237868252761,40563.4442614085,-1615.8654272983274,8309.237868252761,40563.4442614085
2,6.849250469260691,80.96039957500096,-0.22606119024119328,-45725.460818212545,-46080.762046198055,-184214.3583879864,-117.594386364498,-17748.129854177834,28292.332129675415,-41419.53703103086,-9116.32391414834,-4566.805044913683,-41419.53703103086,-9116.32391414834,-4566.805044913683
3,6.806334641791025,80.46224536147679,-0.2260611891717709,-40373.86909887675,-40657.970555681495,-162872.0548956517,-56.41392911353914,-7170.663572440665,28835.47710188136,-21568.77178935054,-5022.131565402148,-3785.3764621216146,-21568.77178935054,-5022.131565402148,-3785.3764621216146
4,6.763418814085756,79.96409114721057,-0.22606118937259578,-41220.435343978985,-41524.99342289947,-166394.81452732693,-39.364899042867314,-4775.968244299783,31520.43652003496,-23695.410363627685,-5472.409601271978,-3647.3911631897745,-23695.410363627685,-5472.409601271978,-3647.3911631897745
5,6.720502986258151,79.46593693279958,-0.2260611893540204,-41294.69485591102,-41603.65980121162,-166750.1482845403,-37.59315262776401,-4261.734835480257,32647.688473337883,-22352.72814696261,-5138.067243091942,-3337.597438275907,-22352.72814696261,-5138.067243091942,-3337.597438275907
6,6.677587158367544,78.96778271836229,-0.22606118923914628,-41257.14703798717,-41572.788371107104,-166631.22182697974,-34.56290165110693,-4525.054755174144,33334.96616809843,-25004.25773849165,-5711.696130520425,-3557.324147928614,-25004.25773849165,-5711.696130520425,-3557.324147928614
7,6.634671330714302,78.46962850369442,-0.2260611896944474,-42000.40034937697,-42299.94229260324,-169701.8381545579,-66.1076662725544,-6940.65379714779,34808.40981345639,-16966.263582344112,-3666.982380192948,-2309.369064580229,-16966.263582344112,-3666.982380192948,-2309.369064580229
8,6.591755501814632,77.97147428814137,-0.22606118756719454,-37724.90012516615,-37872.39603436131,-152308.99229752712,-1.9346454033511438,-14920.744619209814,27240.831463101164,-51680.92202892668,-10893.169553822829,-3411.484367765259,-51680.92202892668,-10893.169553822829,-3411.484367765259
9,6.89216629713534,81.45855378496289,-0.22488988659986597,-18759.491398288137,-19427.858922011914,-76015.85098841882,-224.82034814779618,-28501.034410255616,15181.818454631282,-16100.228630969206,-1482.6862790168354,7514.839100912073,-16100.228630969206,-1482.6862790168354,7514.839100912073
10,6.849250469403576,80.96039957495114,-0.22488988958398343,-27205.804459891126,-27574.299952944584,-110232.01519780666,-125.19093716442214,-9592.078883802445,15670.51018115813,-30603.607255221465,-7149.413710360719,-4792.959434958267,-30603.607255221465,-7149.413710360719,-4792.959434958267
11,6.806334641983484,80.46224536142147,-0.22488988847148306,-24244.23367429794,-24551.70052380889,-98451.31023056158,-60.606976606686736,-4165.064359212262,16363.479903707663,-24065.563321461774,-5586.263149988374,-3765.344491414259,-24065.563321461774,-5586.263149988374,-3765.344491414259
12,6.7634188142916125,79.96409114718335,-0.22488988867895746,-24684.996058532535,-25010.45985108974,-100361.40377897961,-42.16967661336645,-2683.858544635388,17843.843625239264,-24783.27207956399,-5689.794484753618,-3630.6969908252286,-24783.27207956399,-5689.794484753618,-3630.6969908252286
13,6.720502986473578,79.46593693277276,-0.2248898886581792,-24709.15295044922,-25040.667597312895,-100519.66451912916,-40.207263564918655,-2412.1563957236795,18503.283009979717,-24364.51125342664,-5561.642062643207,-3440.8867009087194,-24364.51125342664,-5561.642062643207,-3440.8867009087194
14,6.6775871585891275,78.96778271832889,-0.2248898885471888,-24713.33844147764,-25050.54420653565,-100572.64522219815,-37.33407910585195,-2608.656294172541,18915.715266068182,-25130.444346579934,-5714.405586401998,-3452.207719011032,-25130.444346579934,-5714.405586401998,-3452.207719011032
15,6.6346713309494145,78.46962850366674,-0.22488988898805717,-24983.62098816086,-25307.762873899388,-101748.58102477746,-69.75182320016177,-3791.755075989848,19731.02231634216,-22613.86775646929,-5080.72063612546,-2974.6844268383857,-22613.86775646929,-5080.72063612546,-2974.6844268383857
16,6.591755502011408,77.97147428795417,-0.22488988688698766,-23062.449171796314,-23209.766671795245,-93787.78521775844,-6.146824010815146,-9245.19220317239,15666.000980911567,-32261.367548969643,-6993.623356358873,-3609.071858513017,-32261.367548969643,-6993.623356358873,-3609.071858513017
17,6.892166297491816,81.45855378374041,-0.22254728510739302,-13119.224405655716,-13965.160274402462,-53555.661792848034,-263.49370013585343,-19898.992668885367,9599.555766340163,-23191.460739189486,-4413.470071819514,1472.4066521769755,-23191.460739189486,-4413.470071819514,1472.4066521769755
18,6.8492504696908085,80.96039957484888,-0.22254728826507503,-17863.620777863678,-18259.02871126218,-73053.61783922085,-140.44446377915585,-5529.48836550286,9315.349231410073,-27708.216518102283,-6559.736921864729,-4570.071900159711,-27708.216518102283,-6559.736921864729,-4570.071900159711
19,6.806334642369036,80.46224536131251,-0.222547287068744,-16110.865133848127,-16464.467969367975,-66112.28010714575,-68.87920860456823,-2640.5922311128566,10079.502159406351,-24737.482385650328,-5719.887817739847,-3694.3410977589806,-24737.482385650328,-5719.887817739847,-3694.3410977589806
20,6.763418814703853,79.96409114712864,-0.22254728728890621,-16340.84371636298,-16707.914134115686,-67199.87951515129,-47.75572884643625,-1634.1983446578465,10955.355863840488,-25021.508426495864,-5726.965686983673,-3579.9000034465043,-25021.508426495864,-5726.965686983673,-3579.9000034465043
21,6.720502986904758,79.46593693271923,-0.22254728726410158,-16340.496485381638,-16716.73500405859,-67266.86897049435,-45.397290490246924,-1481.3398740964437,11378.64724887756,-24854.647799043698,-5658.177640252851,-3428.175307219116,-24854.647799043698,-5658.177640252851,-3428.175307219116
22,6.677587159032656,78.96778271826264,-0.22254728716058725,-16361.795440417,-16741.92803926968,-67398.06340357129,-42.83435217419801,-1640.4670516740237,11652.987858819119,-25118.790921468513,-5695.524929410604,-3382.719945587557,-25118.790921468513,-5695.524929410604,-3382.719945587557
23,6.634671331419564,78.46962850361054,-0.22254728757335965,-16401.047847593087,-16773.785372094324,-67644.6524005428,-77.00388634226638,-2218.560186282488,12137.265969373102,-24122.57722602493,-5414.476822197161,-3058.7106905612623,-24122.57722602493,-5414.476822197161,-3058.7106905612623
24,6.5917555024059205,77.97147428758379,-0.2225472855241422,-15645.766009288109,-15793.27942653664,-64375.84826139006,-14.544343653121283,-6364.366130985388,9829.483743636001,-27306.524075818426,-5893.323126720428,-3471.1038542172255,-27306.524075818426,-5893.323126720428,-3471.1038542172255
25,6.892166298206058,81.45855378134166,-0.21786208211234737,-10212.440736147486,-11402.683356087267,-42132.78452247123,-339.5951527050221,-15335.259300178202,6712.030554981112,-25196.96358254632,-5359.220208904871,-161.7775225047311,-25196.96358254632,-5359.220208904871,-161.7775225047311
26,6.849250470271245,80.96039957463434,-0.21786208561070325,-13030.955433344963,-13482.14666004654,-54095.04027265422,-171.16219677961422,-3525.081992415048,6051.285501261159,-26763.26181814068,-6327.384622386123,-4366.944805000336,-26763.26181814068,-6327.384622386123,-4366.944805000336
27,6.806334643142818,80.46224536110104,-0.2178620842558139,-11908.120119125755,-12351.713542094838,-49685.65686310867,-84.98341095983417,-1836.9317626312607,6843.285438684536,-24822.870787377105,-5736.564778460337,-3608.024708050301,-24822.870787377105,-5736.564778460337,-3608.024708050301
28,6.763418815530547,79.9640911470184,-0.21786208449903208,-12017.923764461366,-12467.38386533687,-50332.09747016333,-58.8302016182734,-1101.7073331689694,7412.454439643776,-24968.014508190423,-5696.795728446554,-3485.995516357075,-24968.014508190423,-5696.795728446554,-3485.995516357075
29,6.720502987768564,79.46593693261244,-0.21786208446761082,-12006.030169102332,-12470.260105867557,-50366.630153561746,-55.62813567721104,-1004.0621706807099,7713.252368372693,-24877.95837690693,-5649.023037749942,-3349.9040137368097,-24877.95837690693,-5649.023037749942,-3349.9040137368097
30,6.677587159921264,78.96778271813217,-0.21786208437794607,-12028.809485149048,-12493.984402230637,-50522.55303527848,-53.66881046709698,-1137.00565611611,7917.131893415214,-25008.218252523482,-5649.22143678384,-3285.108225917752,-25008.218252523482,-5649.22143678384,-3285.108225917752
31,6.63467133235973,78.4696285034949,-0.2178620847375276,-11962.754886118415,-12430.354221110802,-50338.85610695389,-91.36352892331547,-1433.4472826715735,8232.107432048924,-24404.897600953962,-5470.349827263654,-3007.9310451949664,-24404.897600953962,-5470.349827263654,-3007.9310451949664
32,6.591755503198911,77.97147428685872,-0.21786208278995586,-11769.06347648937,-11919.106484297026,-49369.302494230236,-31.2247016912431,-4839.314443760369,6814.768233178251,-26018.756947930273,-5504.892712063954,-3326.618777014393,-26018.756947930273,-5504.892712063954,-3326.618777014393
33,6.892166299400392,81.4585537774653,-0.21005341042729575,-9499.947456288623,-11236.415667356174,-39629.07376179563,-463.1752166754244,-14212.484103249784,6012.54941223135,-25380.377038936535,-5779.73342289583,-778.4809080736217,-25380.377038936535,-5779.73342289583,-778.4809080736217
34,6.849250471255191,80.96039957425253,-0.21005341447623205,-11661.708495110703,-12210.543152081531,-49216.63201014197,-222.78387596178536,-3056.0195049064423,5141.612132919702,-26281.65797455463,-6181.476772500301,-4138.385172856521,-26281.65797455463,-6181.476772500301,-4138.385172856521
35,6.806334644440285,80.46224536076468,-0.21005341288053891,-10752.050047914407,-11339.942563070947,-45690.20398070407,-110.7125879805895,-1603.0104300706016,5967.138133887851,-24687.17438079082,-5707.584243908377,-3480.8399768769473,-24687.17438079082,-5707.584243908377,-3480.8399768769473
36,6.763418816914869,79.96409114683269,-0.21005341315649412,-10801.826783763094,-11386.40021538481,-46158.15352056542,-77.01290150203221,-965.9922838420488,6449.979796244761,-24767.152260608986,-5626.6560348151515,-3337.2292619500377,-24767.152260608986,-5626.6560348151515,-3337.2292619500377
37,6.7205029892127515,79.46593693243511,-0.21005341311755854,-10788.8454751537,-11396.033040248021,-46211.67846007467,-72.29597892741644,-877.0170900965011,6717.201328833516,-24712.776291323615,-5590.736657773646,-3211.4368516151835,-24712.776291323615,-5590.736657773646,-3211.4368516151835
38,6.677587161406955,78.96778271791973,-0.21005341304828437,-10805.493173148012,-11410.237080216959,-46372.675162570944,-71.29367801985626,-995.7852986871786,6907.440740157117,-24799.4399674543,-5570.910600545801,-3134.8803792518825,-24799.4399674543,-5570.910600545801,-3134.8803792518825
39,6.634671333927067,78.46962850329422,-0.21005341332690375,-10709.428941841807,-11329.281777127995,-46057.23379831337,-114.9101296778303,-1246.021123638802,7158.652369014378,-24319.53386152459,-5439.6583857037585,-2887.861577025963,-24319.53386152459,-5439.6583857037585,-2887.861577025963
40,6.591755504531698,77.97147428569127,-0.2100534115432653,-10700.12461439896,-10859.785764282604,-45903.55990423311,-58.69350421410136,-4412.334815452977,6034.211996839474,-25553.859813113915,-5240.405779944006,-3146.488496040869,-25553.859813113915,-5240.405779944006,-3146.488496040869
41,6.89216630090078,81.45855377281576,-0.20029257077781745,-10045.928268470714,-12422.329863634724,-42253.7815811235,-612.4545139839047,-15195.793615278655,6574.918724058514,-25125.734736445214,-6134.168287958334,-1120.5212306510218,-25125.734736445214,-6134.168287958334,-1120.5212306510218
42,6.849250472513688,80.96039957374045,-0.20029257548684443,-12169.952903342337,-12847.464240851656,-51965.13611996979,-287.7324929994112,-3378.3852060148024,5483.233239184731,-25862.6728541946,-6054.429331843516,-3884.6184498448283,-25862.6728541946,-6054.429331843516,-3884.6184498448283
43,6.806334646076393,80.4622453603686,-0.20029257362703795,-11273.14277909616,-12032.84367110867,-48541.98165998567,-141.1711117088515,-1684.9653537657211,6375.095333121365,-24476.48343013659,-5658.568696866707,-3325.373114127233,-24476.48343013659,-5658.568696866707,-3325.373114127233
44,6.763418818657167,79.96409114659794,-0.20029257393551775,-11290.085773488998,-12039.945302586886,-48949.24793862351,-99.26464671576167,-1042.8307032443824,6883.436064790027,-24504.2709049677,-5539.177738980228,-3157.414836509476,-24504.2709049677,-5539.177738980228,-3157.414836509476
45,6.720502991026741,79.46593693221452,-0.20029257389236457,-11282.68952334591,-12062.87725991654,-49054.72796647712,-92.5284275155551,-939.2306426176069,7165.798134164752,-24478.469165075563,-5511.84070124018,-3040.2667349732333,-24478.469165075563,-5511.84070124018,-3040.2667349732333
46,6.6775871632729045,78.96778271766178,-0.20029257384462473,-11293.575341892563,-12069.230882768836,-49227.10227872328,-92.63662729392536,-1053.2658228885514,7376.520688560907,-24537.02952590215,-5475.73197576641,-2953.3195233435586,-24537.02952590215,-5475.73197576641,-2953.3195233435586
47,6.634671335888408,78.4696285030319,-0.20029257403404918,-11191.108502466994,-11992.385599174802,-48876.3536534453,-143.70385652114678,-1372.073731624254,7606.987232990286,-24143.45405716685,-5382.1644665504655,-2735.611720645201,-24143.45405716685,-5382.1644665504655,-2735.611720645201
